시설명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,무료이용시간,연체료부과단위시간,연체료,제어방식구분코드,사용방법설명,택배함종류코드,칸개수,칸깊이,칸너비,칸높이,설치일자,고객센터전화번호,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명,
서귀포시 동홍동 주민센터,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 동홍로 104,,33.2578824,126.5689579,00:00,24:00,00:00,24:00,00:00,24:00,72,24,1000,02,1. 이용자:택배수령지를 보관함 설치장소로 지정 2. 택배업체:이용자의 휴대폰 번호 입력 후 물품보관 3. 종합관제센터:이용자의 휴대폰으로 택배도착문자 및 인증번호 발송 4. 이용자:발송된 인증번호 입력 후 물품 수령,중소형/03,03/25,03/60,03/50,03/32,2014-10-31,02-857-2750,서귀포YWCA,064-762-1400,2019-06-11,6500000,제주특별자치도,
서귀포시 천지동 경로당,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 서문로 37,,33.24959795,126.558408,00:00,24:00,00:00,24:00,00:00,24:00,72,24,1000,02,1. 이용자:택배수령지를 보관함 설치장소로 지정 2. 택배업체:이용자의 휴대폰 번호 입력 후 물품보관 3. 종합관제센터:이용자의 휴대폰으로 택배도착문자 및 인증번호 발송 4. 이용자:발송된 인증번호 입력 후 물품 수령,중소형/03,03/25,03/60,03/50,03/32,2017-12-31,02-857-2750,서귀포YWCA,064-762-1400,2019-06-11,6500000,제주특별자치도,
제주중앙지하상가,제주특별자치도,제주시,50110,제주특별자치도 제주시 중앙로 60,,33.51283511,126.5244384,00:00,24:00,00:00,24:00,00:00,24:00,72,24,1000,02,1. 이용자:택배수령지를 보관함 설치장소로 지정 2. 택배업체:이용자의 휴대폰 번호 입력 후 물품보관 3. 종합관제센터:이용자의 휴대폰으로 택배도착문자 및 인증번호 발송 4. 이용자:발송된 인증번호 입력 후 물품 수령,중소형/03,03/19,03/60,03/50,03/32,2015-01-31,02-857-2750,제주중앙지하상점가진흥사업협동조합,064-752-8776,2019-06-11,6500000,제주특별자치도,
이도일동도시재생주민협의체,제주특별자치도,제주시,50110,제주특별자치도 제주시 오현길 9,,33.5061154,126.5274551,00:00,24:00,00:00,24:00,00:00,24:00,72,24,1000,02,1. 이용자:택배수령지를 보관함 설치장소로 지정 2. 택배업체:이용자의 휴대폰 번호 입력 후 물품보관 3. 종합관제센터:이용자의 휴대폰으로 택배도착문자 및 인증번호 발송 4. 이용자:발송된 인증번호 입력 후 물품 수령,중소형/03,03/19,03/60,03/50,03/32,2019-05-31,02-857-2750,이도일동도시재생주민협의체,064-756-5433,2019-06-11,6500000,제주특별자치도,
제주시 인구보건복지협회,제주특별자치도,제주시,50110,제주특별자치도 제주시 신대로13길 21,,33.48782769,126.4989568,00:00,24:00,00:00,24:00,00:00,24:00,72,24,1000,02,1. 이용자:택배수령지를 보관함 설치장소로 지정 2. 택배업체:이용자의 휴대폰 번호 입력 후 물품보관 3. 종합관제센터:이용자의 휴대폰으로 택배도착문자 및 인증번호 발송 4. 이용자:발송된 인증번호 입력 후 물품 수령,중소형/03,03/19,03/60,03/50,03/32,2019-05-31,02-857-2750,인구보건복지협회 제주지회,064-742-0456,2019-06-11,6500000,제주특별자치도,
여성안심택배함,전라북도,익산시,45140,전라북도 익산시 중앙로25길 5,전라북도 익산시 마동 246,35.9380072144,126.959164044,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,01,택배기사가 물건을 보관하면 수령인에게 비밀번호 발송,중형/02+중소형/03+소형/04,02/1+03/12+04/3,02/60+03/60+04/60,02/50+03/50+04/50,02/45+03/30+04/22,2018-10-01,063-1599-2740,익산시청,063-859-5193,2019-08-23,4680000,전라북도 익산시,
여성안심택배함,전라북도,익산시,45140,전라북도 익산시 인북로 353,전라북도 익산시 신동 806-1,35.9597718,126.9612337,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,01,택배기사가 물건을 보관하면 수령인에게 비밀번호 발송,중형/02+중소형/03+소형/04,02/1+03/12+04/3,02/60+03/60+04/60,02/50+03/50+04/50,02/45+03/30+04/22,2016-10-01,063-1599-2740,익산시청,063-859-5193,2019-08-23,4680000,전라북도 익산시,
여성안심택배함,전라북도,익산시,45140,전라북도 익산시 궁동로 57,전라북도 익산시 영등동 814,35.9626723,126.9777362,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,01,택배기사가 물건을 보관하면 수령인에게 비밀번호 발송,대형/01+중형/02+중소형/03+소형/04,01/1+02/3+03/12+04/4,01/60+02/60+03/60+04/60,01/50+02/50+03/50+04/50,01/90+02/45+03/30+04/22,2016-10-01,063-1599-2740,익산시청,063-859-5193,2019-08-23,4680000,전라북도 익산시,
검암경서동 행정복지센터,인천광역시,서구,28260,인천광역시 서구 승학로 480,인천광역시 서구 검암동 606-8,37.5643752,126.6735889,00:00,00:00,00:00,00:00,00:00,00:00,48,24,1000,01,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+소형/04,01/3+02/10+04/12,01/60+02/60+04/60,01/50+02/50+04/50,01/60+02/30+04/15,2016-06-13,1688-7125,인천 서구 가정보육과,032-560-5733,2019-08-26,3560000,인천광역시 서구,
간촌어린이공원,인천광역시,서구,28260,인천광역시 서구 간촌로 13,인천광역시 서구 연희동 707,37.54923549,126.6785831,00:00,00:00,00:00,00:00,00:00,00:00,48,24,1000,01,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+소형/04,01/3+02/10+04/12,01/60+02/60+04/60,01/50+02/50+04/50,01/60+02/30+04/15,2017-09-15,1688-7125,인천 서구 가정보육과,032-560-5733,2019-08-26,3560000,인천광역시 서구,
석남1동 행정복지센터,인천광역시,서구,28260,인천광역시 서구 가정로294번길 17,인천광역시 서구 석남동 465-3,37.5111455,126.6747555,00:00,00:00,00:00,00:00,00:00,00:00,48,24,1000,01,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+소형/04,01/3+02/10+04/12,01/60+02/60+04/60,01/50+02/50+04/50,01/60+02/30+04/15,2017-09-15,1688-7125,인천 서구 가정보육과,032-560-5733,2019-08-26,3560000,인천광역시 서구,
가좌1동 행정복지센터,인천광역시,서구,28260,인천광역시 서구 가정로112번길 10,인천광역시 서구 가좌동 145-19,37.4943353,126.6725139,00:00,00:00,00:00,00:00,00:00,00:00,48,24,1000,01,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+소형/04,01/4+02/6+04/13,01/60+02/60+04/60,01/50+02/50+04/50,01/60+02/30+04/15,2018-03-01,1688-7125,인천 서구 가정보육과,032-560-5733,2019-08-26,3560000,인천광역시 서구,
천마산거북이마을커뮤니티센터,인천광역시,서구,28260,인천광역시 서구 길주로142번길 52,인천광역시 서구 석남동 561-3,37.501471,126.6773004,00:00,00:00,00:00,00:00,00:00,00:00,48,24,1000,01,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+소형/04,01/4+02/6+04/13,01/60+02/60+04/60,01/50+02/50+04/50,01/60+02/30+04/15,2018-03-01,1688-7125,인천 서구 가정보육과,032-560-5733,2019-08-26,3560000,인천광역시 서구,
검단2지구2호어린이공원,인천광역시,서구,28260,인천광역시 서구 완정로45번길 3-2,인천광역시 서구 마전동 1023,37.59558221,126.6693523,00:00,00:00,00:00,00:00,00:00,00:00,48,24,1000,01,"물품 배송 시 오후 3:45 2020-02-19휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+소형/04,01/4+02/6+04/13,01/60+02/60+04/60,01/50+02/50+04/50,01/60+02/30+04/15,2018-03-01,1688-7125,인천 서구 가정보육과,032-560-5733,2019-08-26,3560000,인천광역시 서구,
경서동 쑥공원,인천광역시,서구,28260,인천광역시 서구 경서로 53,인천광역시 서구 경서동 745,37.557041,126.655172,00:00,00:00,00:00,00:00,00:00,00:00,48,24,1000,01,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+소형/04,01/3+02/10+04/12,01/60+02/60+04/60,01/50+02/50+04/50,01/60+02/30+04/15,2019-07-01,1688-7125,인천 서구 가정보육과,032-560-5733,2019-08-26,3560000,인천광역시 서구,
원당지구 제4호공원,인천광역시,서구,28260,인천광역시 서구 고산후로183번길 3-12,인천광역시 서구 원당동 805-3,37.599629,126.698745,00:00,00:00,00:00,00:00,00:00,00:00,48,24,1000,01,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+소형/04,01/4+02/6+04/13,01/60+02/60+04/60,01/50+02/50+04/50,01/60+02/30+04/15,2019-07-01,1688-7125,인천 서구 가정보육과,032-560-5733,2019-08-26,3560000,인천광역시 서구,
여성안심택배함,서울특별시,서대문구,11130,서울특별시 서대문구 북아현로 24(북아현동),서울특별시 서대문구 북아현동 129-37,37.559451,126.957011,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,03,"부재중 택배 수령이 어려운 경우 물품주문시 택배 수령 장소를 가까운 무인택배보관함으로 지정하고, 핸드폰번호 및 인증번호 인증절차를 거쳐 물건을 찾아가면 됨.",3,19,0.6,2,2.3,2013-12-31,1599-2740,서대문구청 여성가족과,02-330-8236,2019-01-01,3120000,서울특별시 서대문구,
여성안심택배함,서울특별시,서대문구,11130,"서울특별시 서대문구 봉원사2길 13(봉원동, 봉원교회)",서울특별시 서대문구 봉원동 42-6,37.568525,126.946631,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,03,"부재중 택배 수령이 어려운 경우 물품주문시 택배 수령 장소를 가까운 무인택배보관함으로 지정하고, 핸드폰번호 및 인증번호 인증절차를 거쳐 물건을 찾아가면 됨.",3,19,0.6,2,2.3,2013-12-31,1599-2740,서대문구청 여성가족과,02-330-8236,2019-01-01,3120000,서울특별시 서대문구,
여성안심택배함,서울특별시,서대문구,11130,서울특별시 서대문구 포방터길 28(홍제3동),서울특별시 서대문구 홍제동 286-30,37.597999,126.949169,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,03,"부재중 택배 수령이 어려운 경우 물품주문시 택배 수령 장소를 가까운 무인택배보관함으로 지정하고, 핸드폰번호 및 인증번호 인증절차를 거쳐 물건을 찾아가면 됨.",3,19,0.6,2,2.3,2014-06-30,1599-2740,서대문구청 여성가족과,02-330-8236,2019-01-01,3120000,서울특별시 서대문구,
여성안심택배함,서울특별시,서대문구,11130,서울특별시 서대문구 가좌로4길 154(홍은2동),서울특별시 서대문구 홍은동 338-146,37.585816,126.923424,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,03,"부재중 택배 수령이 어려운 경우 물품주문시 택배 수령 장소를 가까운 무인택배보관함으로 지정하고, 핸드폰번호 및 인증번호 인증절차를 거쳐 물건을 찾아가면 됨.",3,19,0.6,2,2.3,2014-06-30,1599-2740,서대문구청 여성가족과,02-330-8236,2019-01-01,3120000,서울특별시 서대문구,
여성안심택배함,서울특별시,서대문구,11130,서울특별시 서대문구 홍은중앙로85(홍은동),서울특별시 서대문구 홍은동 11-853,37.598954,126.947125,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,03,"부재중 택배 수령이 어려운 경우 물품주문시 택배 수령 장소를 가까운 무인택배보관함으로 지정하고, 핸드폰번호 및 인증번호 인증절차를 거쳐 물건을 찾아가면 됨.",3,19,0.6,2,2.3,2015-07-31,1599-2740,서대문구청 여성가족과,02-330-8236,2019-01-01,3120000,서울특별시 서대문구,
여성안심택배함,서울특별시,서대문구,11130,서울특별시 서대문구 연희로 189(연희동),서울특별시 서대문구 연희동 77-9,37.573981,126.935215,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,03,"부재중 택배 수령이 어려운 경우 물품주문시 택배 수령 장소를 가까운 무인택배보관함으로 지정하고, 핸드폰번호 및 인증번호 인증절차를 거쳐 물건을 찾아가면 됨.",3,19,0.6,2,2.3,2016-05-30,070-7615-7200,서대문구청 여성가족과,02-330-8236,2019-01-01,3120000,서울특별시 서대문구,
여성안심택배함,서울특별시,서대문구,11130,서울특별시 서대문구 모래내로 334(홍은2동),서울특별시 서대문구 홍은동 273-10,37.580052,126.934137,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,03,"부재중 택배 수령이 어려운 경우 물품주문시 택배 수령 장소를 가까운 무인택배보관함으로 지정하고, 핸드폰번호 및 인증번호 인증절차를 거쳐 물건을 찾아가면 됨.",3,19,0.6,2,2.3,2017-05-31,070-7615-7200,서대문구청 여성가족과,02-330-8236,2019-01-01,3120000,서울특별시 서대문구,
여성안심택배함,서울특별시,서대문구,11130,서울특별시 서대문구 세검정로4길 32(홍제3동),서울특별시 서대문구 홍제동 7-13,37.593813,126.949677,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,03,"부재중 택배 수령이 어려운 경우 물품주문시 택배 수령 장소를 가까운 무인택배보관함으로 지정하고, 핸드폰번호 및 인증번호 인증절차를 거쳐 물건을 찾아가면 됨.",3,19,0.6,2,2.3,2017-05-31,070-7615-7200,서대문구청 여성가족과,02-330-8236,2019-01-01,3120000,서울특별시 서대문구,
여성안심택배함,서울특별시,서대문구,11130,서울특별시 서대문구 북아현로22길 38(북아현동),서울특별시 서대문구 북아현동 1-90,37.564781,126.954713,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,03,"부재중 택배 수령이 어려운 경우 물품주문시 택배 수령 장소를 가까운 무인택배보관함으로 지정하고, 핸드폰번호 및 인증번호 인증절차를 거쳐 물건을 찾아가면 됨.",3,25,0.6,2,2.3,2018-05-30,070-7615-7200,서대문구청 여성가족과,02-330-8236,2019-01-01,3120000,서울특별시 서대문구,
여성안심택배함,서울특별시,서대문구,11131,서울특별시 서대문구 남가좌동 328-17,,37.576250,126.926375,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,03,"부재중 택배 수령이 어려운 경우 물품주문시 택배 수령 장소를 가까운 무인택배보관함으로 지정하고, 핸드폰번호 및 인증번호 인증절차를 거쳐 물건을 찾아가면 됨.",3,19,0.6,2,2.3,2019-05-30,070-7615-7200,서대문구청 여성가족과,02-330-8236,2019-01-01,3120000,서울특별시 서대문구,
여성안심택배함,인천광역시,연수구,23040,인천광역시 연수구 함박뫼로 127,,37.4222546,126.6810562,00:00,24:00,00:00,24:00,00:00,24:00,24,24,1000,99,이용자:택배 주문시 물품수령을 보관함 설치주소로 지정→택배회사:물품보관(비밀번호 및 보관함번호 자동발송)→보관함:본인인증 및 물품수령,03,03/10,03/55,03/45,03/48,2016-08-20,1899-4711,주식회사 새누,02-865-8384,2019-07-23,3520000,인천광역시 연수구,
여성안심택배함,인천광역시,연수구,23040,인천광역시 연수구 함박뫼로 13,,37.4190771,126.6711606,00:00,24:00,00:00,24:00,00:00,24:00,24,24,1000,99,이용자:택배 주문시 물품수령을 보관함 설치주소로 지정→택배회사:물품보관(비밀번호 및 보관함번호 자동발송)→보관함:본인인증 및 물품수령,03,03/10,03/55,03/45,03/48,2017-06-19,1899-4711,주식회사 새누,02-865-8384,2019-07-23,3520000,인천광역시 연수구,
여성안심택배함,인천광역시,연수구,23040,인천광역시 연수구 함박뫼로 152번길 96,,37.4178505,126.6853117,00:00,24:00,00:00,24:00,00:00,24:00,24,24,1000,99,이용자:택배 주문시 물품수령을 보관함 설치주소로 지정→택배회사:물품보관(비밀번호 및 보관함번호 자동발송)→보관함:본인인증 및 물품수령,03,03/10,03/55,03/45,03/48,2017-06-19,1899-4711,주식회사 새누,02-865-8384,2019-07-23,3520000,인천광역시 연수구,
여성안심택배함,인천광역시,연수구,23040,인천광역시 연수구 넘말로 30,,37.42985289,126.6978766,00:00,24:00,00:00,24:00,00:00,24:00,24,24,1000,99,이용자:택배 주문시 물품수령을 보관함 설치주소로 지정→택배회사:물품보관(비밀번호 및 보관함번호 자동발송)→보관함:본인인증 및 물품수령,03,03/10,03/60,03/60,03/45,2018-09-01,1600-5136,(주) 이온누리,042-331-5136,2019-07-23,3520000,인천광역시 연수구,
여성안심택배함,인천광역시,연수구,23040,,인천광역시 연수구 청학동 514-3,37.4257627,126.6655525,00:00,24:00,00:00,24:00,00:00,24:00,24,24,1000,99,이용자:택배 주문시 물품수령을 보관함 설치주소로 지정→택배회사:물품보관(비밀번호 및 보관함번호 자동발송)→보관함:본인인증 및 물품수령,03,03/10,03/60,03/60,03/45,2018-09-01,1600-5136,(주) 이온누리,042-331-5136,2019-07-23,3520000,인천광역시 연수구,
강화베이힐아파트,인천광역시,강화군,35700,인천광역시 강화군 강화읍 강화대로 234-12,인천광역시 강화군 강화읍 갑곳리 1100,37.7418810775,126.5035018362,00:00,24:00,00:00,24:00,00:00,24:00,0,24,1000,01,대상자핸드폰문자로 보관함번호와비밀번호가 전송되면  48시이내 무료 24시간초가시마다 1000원부과됨,대형/01+소형03,01/6+03/12,01/60+03/60,01/50+03/50,01/60+03/60,2016-07-07,1899-4711,인천광역시 강화군,032-930-3587,2019-09-20,3570000,인천광역시 강화군,
장전동 까치공원 내 무인택배함,부산광역시,금정구,26410,부산광역시 금정구 장전동 220-2,부산광역시 금정구 장전동 220-2,35.238387,129.086232,00:00,23:59,00:00,23:59,00:00,23:59,0,0,0,01,"물품배송시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여 해당 봐관함에서 본인 휴대폰 번호로  전송받은 인증번호를 입력 뒤 보관함을 열어 물품 수령",대형/01+중형/02+소형/04,01/2+02/7+04/10,600,500,",1920",2017-11-28,051-519-4362,금정구청여성가족과,051-519-4362,2019-05-17,3350000,부산광역시 금정구,
구서동 도시숲 내 무인택배함,부산광역시,금정구,26410,부산광역시 금정구 구서동 271,부산광역시 금정구 구서동 271,35.256619,129.089577,00:00,23:59,00:00,23:59,00:00,23:59,0,0,0,01,"물품배송시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여 해당 봐관함에서 본인 휴대폰 번호로  전송받은 인증번호를 입력 뒤 보관함을 열어 물품 수령",대형/01+중형/02+소형/04,01/2+02/7+04/10,600,500,",1920",2018-03-12,051-519-4362,금정구청여성가족과,051-519-4362,2019-05-17,3350000,부산광역시 금정구,
마천2동주민센터,서울특별시,송파구,11710,서울특별시 송파구 마천로287,서울특별시 송파구 마천동127-1,37.496818,127.148538,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,01,택배보관후 비밀번호 발송,특대형/01+대형/02+중형/03+소형/04,03/5+04/15,01/600+02/600+03/600+04/600,01/450+02/450+03/450+04/450,01/90+02/85+03/48+04/33,2015-01-01,1899-4711,㈜ 새누,02-2147-3906,2019-05-31,3230000,서울특별시 송파구,
